class skew	fraction	noise at top	total data points	positive data points	negative data points	positive noise points at top	negative noise points at top	total noise	positive noise	negative noise
										
0.01	0.8133748056	523	64368	644	63724	2	521	643	6	637
	0.7200124301	2317	64368	644	63724	10	2307	3218	32	3186
	0.4707893101	3030	64368	644	63724	15	3015	6436	64	6372
	0.1835073328	2953	64368	644	63724	65	2888	16092	161	15931
	0.0498695004	1605	64368	644	63724	834	771	32184	322	31862
										
0.05	0.7044776119	472	67078	3354	63724	10	462	670	33	637
	0.6823739934	2288	67078	3354	63724	51	2237	3353	167	3186
	0.429998509	2884	67078	3354	63724	103	2781	6707	335	6372
	0.1678692826	2815	67078	3354	63724	309	2506	16769	838	15931
	0.0506574436	1699	67078	3354	63724	841	858	33539	1677	31862
										
0.1	0.5918079096	419	70805	7081	63724	16	403	708	70	638
	0.613559322	2172	70805	7081	63724	109	2063	3540	354	3186
	0.3778248588	2675	70805	7081	63724	208	2467	7080	708	6372
	0.1499350319	2654	70805	7081	63724	551	2103	17701	1770	15931
	0.0492062595	1742	70805	7081	63724	883	859	35402	3540	31862
										
0.25	0.3404004711	289	84966	21242	63724	48	241	849	212	637
	0.4298493409	1826	84966	21242	63724	308	1518	4248	1062	3186
	0.2757768362	2343	84966	21242	63724	561	1782	8496	2124	6372
	0.1318205358	2800	84966	21242	63724	1103	1697	21241	5310	15931
	0.0503966292	2141	84966	21242	63724	1118	1023	42483	10621	31862
										
0.5	0.2339089482	298	127448	63724	63724	113	185	1274	637	637
	0.2263025738	1442	127448	63724	63724	583	859	6372	3186	3186
	0.1725517891	2199	127448	63724	63724	948	1251	12744	6372	6372
	0.1235955056	3938	127448	63724	63724	1919	2019	31862	15931	15931
	0.0491808424	3134	127448	63724	63724	1526	1608	63724	31862	31862
